"Database","Comparison","Pathway","GeneRatio","BgRatio","GeneCount","PValue","AdjustedPValue","QValue"
"GO-BP","D7_vs_D0","cellular response to type I interferon","25/1564","116/18842",25,7.73678787858027e-06,0.000433306997667656,0.000433306997667656
"GO-BP","D7_vs_D0","negative regulation of megakaryocyte differentiation","9/1564","19/18842",9,7.83900507333833e-06,0.000433306997667656,0.000433306997667656
"GO-BP","D7_vs_D0","negative regulation of defense response","48/1564","300/18842",48,7.90507704077868e-06,0.000433306997667656,0.000433306997667656
"GO-BP","D7_vs_D0","granulocyte activation","15/1564","50/18842",15,7.92120921446124e-06,0.000433306997667656,0.000433306997667656
"GO-BP","D7_vs_D0","B cell mediated immunity","33/1564","177/18842",33,8.45366488819708e-06,0.000453276542108169,0.000453276542108169
"GO-BP","D7_vs_D0","leukocyte chemotaxis","38/1564","217/18842",38,8.4625725481105e-06,0.000453276542108169,0.000453276542108169
"GO-BP","D7_vs_D0","negative regulation of myeloid cell differentiation","20/1564","82/18842",20,8.8797502997377e-06,0.000468511725595175,0.000468511725595174
"GO-BP","D7_vs_D0","immune response-activating cell surface receptor signaling pathway","52/1564","336/18842",52,8.92923942207839e-06,0.000468511725595175,0.000468511725595174
"GO-BP","D7_vs_D0","regulation of leukocyte migration","37/1564","210/18842",37,9.58662057265195e-06,0.000497923262470468,0.000497923262470468
"GO-BP","D7_vs_D0","leukocyte proliferation","43/1564","261/18842",43,1.10291935429613e-05,0.000567121131979071,0.000567121131979071
"GO-BP","D7_vs_D0","myeloid cell activation involved in immune response","21/1564","90/18842",21,1.12093090354883e-05,0.000570675911489907,0.000570675911489907
"GO-BP","D7_vs_D0","leukocyte mediated cytotoxicity","27/1564","134/18842",27,1.27386852340417e-05,0.000642179602680811,0.000642179602680811
"GO-BP","D7_vs_D0","response to interferon-alpha","9/1564","20/18842",9,1.32021646522364e-05,0.000659082821765045,0.000659082821765045
"GO-BP","D7_vs_D0","regulation of myeloid cell differentiation","34/1564","189/18842",34,1.37789997124285e-05,0.000681265543474108,0.000681265543474108
"GO-BP","D7_vs_D0","hypersensitivity","8/1564","16/18842",8,1.55327419897567e-05,0.000760660564869798,0.000760660564869798
"GO-BP","D7_vs_D0","regulation of type I interferon-mediated signaling pathway","13/1564","41/18842",13,1.63126160676577e-05,0.000791315771885811,0.000791315771885811
"GO-BP","D7_vs_D0","cell surface toll-like receptor signaling pathway","18/1564","72/18842",18,1.71454441490978e-05,0.000823942745931409,0.000823942745931409
"GO-BP","D7_vs_D0","lymphocyte proliferation","38/1564","227/18842",38,2.43179838671636e-05,0.00115780623189773,0.00115780623189773
"GO-BP","D7_vs_D0","response to tumor necrosis factor","37/1564","219/18842",37,2.51525437760483e-05,0.0011865539458389,0.0011865539458389
"GO-BP","D7_vs_D0","protein autoubiquitination","18/1564","74/18842",18,2.56311902480587e-05,0.00118734756986953,0.00118734756986953
"GO-BP","D7_vs_D0","cellular response to mechanical stimulus","18/1564","74/18842",18,2.56311902480587e-05,0.00118734756986953,0.00118734756986953
"GO-BP","D7_vs_D0","T cell mediated immunity","25/1564","124/18842",25,2.60426100879085e-05,0.00119563483100023,0.00119563483100023
"GO-BP","D7_vs_D0","regulation of pattern recognition receptor signaling pathway","34/1564","195/18842",34,2.7113190448581e-05,0.00123377013527968,0.00123377013527968
"GO-BP","D7_vs_D0","type II interferon production","24/1564","117/18842",24,2.78468316008822e-05,0.00124511659210205,0.00124511659210205
"GO-BP","D7_vs_D0","regulation of type II interferon production","24/1564","117/18842",24,2.78468316008822e-05,0.00124511659210205,0.00124511659210205
"GO-BP","D7_vs_D0","exocytosis","52/1564","351/18842",52,3.04434392441488e-05,0.00134948417752942,0.00134948417752942
"GO-BP","D7_vs_D0","cellular response to external stimulus","18/1564","75/18842",18,3.11372866052882e-05,0.00136844382670421,0.00136844382670421
"GO-BP","D7_vs_D0","regulation of leukocyte chemotaxis","24/1564","118/18842",24,3.22457176555125e-05,0.00140514813715801,0.00140514813715801
"GO-BP","D7_vs_D0","myeloid cell development","16/1564","62/18842",16,3.26048613835135e-05,0.00140550913746787,0.00140550913746787
"GO-BP","D7_vs_D0","mononuclear cell proliferation","38/1564","230/18842",38,3.28006799875815e-05,0.00140550913746787,0.00140550913746787
"GO-BP","D7_vs_D0","killing of cells of another organism","23/1564","111/18842",23,3.43130283968903e-05,0.00144620977062959,0.00144620977062959
"GO-BP","D7_vs_D0","disruption of cell in another organism","23/1564","111/18842",23,3.43130283968903e-05,0.00144620977062959,0.00144620977062959
"GO-BP","D7_vs_D0","cell surface pattern recognition receptor signaling pathway","19/1564","83/18842",19,3.84827892156665e-05,0.00160876831013786,0.00160876831013786
"GO-BP","D7_vs_D0","cell chemotaxis","47/1564","311/18842",47,4.36392201514845e-05,0.00180961991950753,0.00180961991950753
"GO-BP","D7_vs_D0","positive regulation of interleukin-10 production","12/1564","39/18842",12,4.81886112245245e-05,0.00198228671133204,0.00198228671133204
"GO-BP","D7_vs_D0","antibody-dependent cellular cytotoxicity","6/1564","10/18842",6,5.07712161876901e-05,0.00203957495028986,0.00203957495028986
"GO-BP","D7_vs_D0","type IIa hypersensitivity","6/1564","10/18842",6,5.07712161876901e-05,0.00203957495028986,0.00203957495028986
"GO-BP","D7_vs_D0","type II hypersensitivity","6/1564","10/18842",6,5.07712161876901e-05,0.00203957495028986,0.00203957495028986
"GO-BP","D7_vs_D0","positive regulation of cytokine-mediated signaling pathway","15/1564","58/18842",15,5.55778552285735e-05,0.00220826589369915,0.00220826589369915
"GO-BP","D7_vs_D0","regulation of lymphocyte mediated immunity","30/1564","169/18842",30,5.5829359428411e-05,0.00220826589369915,0.00220826589369915
"GO-BP","D7_vs_D0","cellular response to tumor necrosis factor","34/1564","202/18842",34,5.6901551488361e-05,0.00223349448666528,0.00223349448666528
"GO-BP","D7_vs_D0","regulation of T cell mediated immunity","21/1564","100/18842",21,6.03038805636739e-05,0.00233392561497663,0.00233392561497663
"GO-BP","D7_vs_D0","chemotaxis","61/1564","443/18842",61,6.08218655011414e-05,0.00233392561497663,0.00233392561497663
"GO-BP","D7_vs_D0","taxis","61/1564","443/18842",61,6.08218655011414e-05,0.00233392561497663,0.00233392561497663
"GO-BP","D7_vs_D0","disruption of anatomical structure in another organism","23/1564","115/18842",23,6.15126525034754e-05,0.00234294858646571,0.00234294858646571
"GO-BP","D7_vs_D0","tumor necrosis factor-mediated signaling pathway","24/1564","123/18842",24,6.50805380459455e-05,0.00246061857817832,0.00246061857817832
"GO-BP","D7_vs_D0","positive regulation of leukocyte migration","26/1564","139/18842",26,6.95666832450065e-05,0.00261103565872864,0.00261103565872864
"GO-BP","D7_vs_D0","response to mechanical stimulus","33/1564","196/18842",33,7.22125379182326e-05,0.00269070195634458,0.00269070195634458
"GO-BP","D7_vs_D0","establishment of organelle localization","53/1564","372/18842",53,7.42592924067431e-05,0.00272883213723045,0.00272883213723045
"GO-BP","D7_vs_D0","cellular extravasation","16/1564","66/18842",16,7.4297257723116e-05,0.00272883213723045,0.00272883213723045
"GO-BP","D7_vs_D0","leukocyte activation involved in immune response","42/1564","274/18842",42,7.8509058295626e-05,0.00286307501954687,0.00286307501954687
"GO-BP","D7_vs_D0","regulation of megakaryocyte differentiation","11/1564","35/18842",11,7.9947574794324e-05,0.00289500302529869,0.00289500302529869
"GO-BP","D7_vs_D0","interleukin-10 production","15/1564","60/18842",15,8.48449293209794e-05,0.00300877673495501,0.00300877673495501
"GO-BP","D7_vs_D0","regulation of interleukin-10 production","15/1564","60/18842",15,8.48449293209794e-05,0.00300877673495501,0.00300877673495501
"GO-BP","D7_vs_D0","regulation of defense response to virus","15/1564","60/18842",15,8.48449293209794e-05,0.00300877673495501,0.00300877673495501
"GO-BP","D7_vs_D0","interferon-alpha production","10/1564","30/18842",10,9.65124463445408e-05,0.0033759659802968,0.0033759659802968
"GO-BP","D7_vs_D0","regulation of interferon-alpha production","10/1564","30/18842",10,9.65124463445408e-05,0.0033759659802968,0.0033759659802968
"GO-BP","D7_vs_D0","regulation of defense response to virus by host","12/1564","42/18842",12,0.000107848472310625,0.00374700570690023,0.00374700570690023
"GO-BP","D7_vs_D0","positive regulation of interferon-alpha production","9/1564","25/18842",9,0.000109621964980923,0.00378306136867052,0.00378306136867052
"GO-BP","D7_vs_D0","leukocyte homeostasis","17/1564","75/18842",17,0.000110395655445856,0.00378436306868396,0.00378436306868396
"GO-BP","D7_vs_D0","regulation of cytoplasmic pattern recognition receptor signaling pathway","25/1564","135/18842",25,0.000112448913841463,0.00382922062895897,0.00382922062895897
"GO-BP","D7_vs_D0","cell activation involved in immune response","42/1564","279/18842",42,0.000118702717135211,0.00401558797045562,0.00401558797045562
"GO-BP","D7_vs_D0","positive regulation of defense response to virus by host","10/1564","31/18842",10,0.000131934077194242,0.00443401977080256,0.00443401977080256
"GO-BP","D7_vs_D0","phagocytosis","36/1564","228/18842",36,0.00013536745033815,0.00451986642622576,0.00451986642622576
"GO-BP","D7_vs_D0","regulation of cellular extravasation","11/1564","37/18842",11,0.000140335523087329,0.00465551780461319,0.00465551780461319
"GO-BP","D7_vs_D0","interleukin-8 production","21/1564","106/18842",21,0.000145395650002103,0.00476193905930453,0.00476193905930453
"GO-BP","D7_vs_D0","regulation of interleukin-8 production","21/1564","106/18842",21,0.000145395650002103,0.00476193905930453,0.00476193905930453
"GO-BP","D7_vs_D0","protein polyubiquitination","41/1564","273/18842",41,0.000149799356424654,0.00487511576414917,0.00487511576414917
"GO-BP","D7_vs_D0","mononuclear cell migration","34/1564","212/18842",34,0.000151014507574383,0.00488375218834892,0.00488375218834892
"GO-BP","D7_vs_D0","toll-like receptor 4 signaling pathway","15/1564","63/18842",15,0.000153741526778235,0.00494086831683553,0.00494086831683553
"GO-BP","D7_vs_D0","detection of external biotic stimulus","9/1564","26/18842",9,0.000155366005648529,0.00496206211829028,0.00496206211829028
"GO-BP","D7_vs_D0","response to fungus","16/1564","70/18842",16,0.000156932248520628,0.00498114581415475,0.00498114581415475
"GO-BP","D7_vs_D0","regulation of immune effector process","49/1564","347/18842",49,0.000169634053605687,0.00535127793644443,0.00535127793644443
"GO-BP","D7_vs_D0","inflammatory response to antigenic stimulus","15/1564","64/18842",15,0.000185584397983801,0.00581874984410187,0.00581874984410187
"GO-BP","D7_vs_D0","regulation of neutrophil activation","6/1564","12/18842",6,0.000193049973402307,0.00601613917111916,0.00601613917111916
"GO-BP","D7_vs_D0","cellular defense response","13/1564","51/18842",13,0.000201392452727817,0.00620941887952626,0.00620941887952626
"GO-BP","D7_vs_D0","regulation of lymphocyte proliferation","32/1564","198/18842",32,0.000201667240933661,0.00620941887952626,0.00620941887952626
"GO-BP","D7_vs_D0","regulation of leukocyte proliferation","35/1564","224/18842",35,0.000205013150362471,0.00627486678073704,0.00627486678073704
"GO-BP","D7_vs_D0","positive regulation of chemokine production","15/1564","65/18842",15,0.000222981067482198,0.00678442987570095,0.00678442987570095
"GO-BP","D7_vs_D0","regulation of mononuclear cell proliferation","32/1564","200/18842",32,0.000243222148534266,0.00735675463390114,0.00735675463390114
"GO-BP","D7_vs_D0","negative regulation of cytokine production","51/1564","371/18842",51,0.000246023083657674,0.00739795728753077,0.00739795728753077
"GO-BP","D7_vs_D0","mast cell activation involved in immune response","13/1564","52/18842",13,0.000248346906548623,0.00742441740391291,0.00742441740391291
"GO-BP","D7_vs_D0","toll-like receptor signaling pathway","17/1564","80/18842",17,0.000253939695091553,0.00754773359630501,0.00754773359630501
"GO-BP","D7_vs_D0","chemokine production","19/1564","95/18842",19,0.000260160697602588,0.00764426461184289,0.00764426461184289
"GO-BP","D7_vs_D0","regulation of chemokine production","19/1564","95/18842",19,0.000260160697602588,0.00764426461184289,0.00764426461184289
"GO-BP","D7_vs_D0","microglial cell activation","12/1564","46/18842",12,0.000278045029961883,0.00807744375177403,0.00807744375177403
"GO-BP","D7_vs_D0","leukocyte activation involved in inflammatory response","12/1564","46/18842",12,0.000278045029961883,0.00807744375177403,0.00807744375177403
"GO-BP","D7_vs_D0","negative regulation of immune response","32/1564","202/18842",32,0.000292246239267075,0.00844230428264775,0.00844230428264775
"GO-BP","D7_vs_D0","cytokine production involved in immune response","19/1564","96/18842",19,0.000299524837394897,0.00854977747788559,0.00854977747788559
"GO-BP","D7_vs_D0","regulation of cytokine production involved in immune response","19/1564","96/18842",19,0.000299524837394897,0.00854977747788559,0.00854977747788559
"GO-BP","D7_vs_D0","detection of biotic stimulus","11/1564","40/18842",11,0.000300954827595739,0.00854977747788559,0.00854977747788559
"GO-BP","D7_vs_D0","glial cell activation","13/1564","53/18842",13,0.000304349151266127,0.00859869964731002,0.00859869964731002
"GO-BP","D7_vs_D0","erythrocyte development","10/1564","34/18842",10,0.000309886506978683,0.00870730283543381,0.00870730283543381
"GO-BP","D7_vs_D0","detection of molecule of bacterial origin","6/1564","13/18842",6,0.000333347228700004,0.00931560570638815,0.00931560570638815
"GO-BP","D7_vs_D0","regulation of myeloid leukocyte mediated immunity","12/1564","47/18842",12,0.000345485994873789,0.00960264316562716,0.00960264316562716
"GO-BP","D7_vs_D0","response to protozoan","7/1564","18/18842",7,0.000375662968557384,0.0102747818315004,0.0102747818315004
"GO-BP","D7_vs_D0","defense response to protozoan","7/1564","18/18842",7,0.000375662968557384,0.0102747818315004,0.0102747818315004
"GO-BP","D7_vs_D0","protein localization to CENP-A containing chromatin","7/1564","18/18842",7,0.000375662968557384,0.0102747818315004,0.0102747818315004
"GO-BP","D7_vs_D0","activated T cell proliferation","11/1564","41/18842",11,0.000380770875823044,0.0103593854152492,0.0103593854152492
"GO-BP","D7_vs_D0","regulation of biological process involved in symbiotic interaction","10/1564","35/18842",10,0.000401862079852425,0.0108756569189535,0.0108756569189535
"GO-BP","D7_vs_D0","regulation of mononuclear cell migration","24/1564","138/18842",24,0.000406707074248291,0.0109491506585587,0.0109491506585587
"GO-BP","D7_vs_D0","negative regulation of cold-induced thermogenesis","12/1564","48/18842",12,0.000426263350294665,0.0113655071483706,0.0113655071483706
"GO-BP","D7_vs_D0","positive regulation of type II interferon production","16/1564","76/18842",16,0.000426593325483379,0.0113655071483706,0.0113655071483706
"GO-BP","D7_vs_D0","regulation of cell killing","19/1564","99/18842",19,0.000450362554177905,0.0119369291421793,0.0119369291421793
"GO-BP","D7_vs_D0","biological process involved in symbiotic interaction","29/1564","181/18842",29,0.000453902165963676,0.0119690509609499,0.0119690509609499
"GO-BP","D7_vs_D0","positive regulation of leukocyte chemotaxis","18/1564","92/18842",18,0.000494394648843804,0.0129702922671165,0.0129702922671165
"GO-BP","D7_vs_D0","production of molecular mediator of immune response","29/1564","182/18842",29,0.000498024099174323,0.0129991874007836,0.0129991874007836
"GO-BP","D7_vs_D0","innate immune response activating cell surface receptor signaling pathway","19/1564","100/18842",19,0.000513498421195249,0.013268386340633,0.013268386340633
"GO-BP","D7_vs_D0","regulation of phagocytosis","19/1564","100/18842",19,0.000513498421195249,0.013268386340633,0.013268386340633
"GO-BP","D7_vs_D0","positive regulation of cell activation","47/1564","345/18842",47,0.000516803693361524,0.0132870229563248,0.0132870229563248
"GO-BP","D7_vs_D0","mast cell degranulation","12/1564","49/18842",12,0.000522401899089708,0.0133641321647725,0.0133641321647725
"GO-BP","D7_vs_D0","oxygen transport","6/1564","14/18842",6,0.000542465879791437,0.0138087106628097,0.0138087106628097
"GO-BP","D7_vs_D0","adaptive thermogenesis","27/1564","166/18842",27,0.000552006874008582,0.0139232562478598,0.0139232562478598
"GO-BP","D7_vs_D0","detection of other organism","7/1564","19/18842",7,0.000552381228036445,0.0139232562478598,0.0139232562478598
"GO-BP","D7_vs_D0","viral gene expression","18/1564","93/18842",18,0.000566308971054368,0.0142046864837149,0.0142046864837149
"GO-BP","D7_vs_D0","macrophage activation","19/1564","101/18842",19,0.000584146288193933,0.0145809719121029,0.0145809719121029
"GO-BP","D7_vs_D0","mast cell mediated immunity","12/1564","50/18842",12,0.000636132251193087,0.0157878933972473,0.0157878933972473
"GO-BP","D7_vs_D0","mast cell activation","14/1564","64/18842",14,0.000638639017235986,0.0157878933972473,0.0157878933972473
"GO-BP","D7_vs_D0","protein-DNA complex organization","34/1564","229/18842",34,0.000650729667686241,0.0160098179485294,0.0160098179485294
"GO-BP","D7_vs_D0","immune response-inhibiting cell surface receptor signaling pathway","10/1564","37/18842",10,0.000654374172733758,0.0160228190295094,0.0160228190295094
"GO-BP","D7_vs_D0","temperature homeostasis","30/1564","194/18842",30,0.000670925372829771,0.0163502287539843,0.0163502287539843
"GO-BP","D7_vs_D0","cytolysis","5/1564","10/18842",5,0.000691668107958109,0.016776214203399,0.016776214203399
"GO-BP","D7_vs_D0","regulation of cold-induced thermogenesis","25/1564","152/18842",25,0.000735431552189921,0.0177539391613173,0.0177539391613173
"GO-BP","D7_vs_D0","defense response to fungus","14/1564","65/18842",14,0.000752741199521337,0.0180868936819566,0.0180868936819566
"GO-BP","D7_vs_D0","megakaryocyte differentiation","13/1564","58/18842",13,0.000773139365094373,0.018358131993095,0.018358131993095
"GO-BP","D7_vs_D0","regulation of peptidyl-tyrosine phosphorylation","16/1564","80/18842",16,0.000774740303870403,0.018358131993095,0.018358131993095
"GO-BP","D7_vs_D0","neuroinflammatory response","16/1564","80/18842",16,0.000774740303870403,0.018358131993095,0.018358131993095
"GO-BP","D7_vs_D0","regulation of chemotaxis","30/1564","196/18842",30,0.000796501474666606,0.0187872045079619,0.0187872045079619
"GO-BP","D7_vs_D0","cold-induced thermogenesis","25/1564","153/18842",25,0.000811235673056695,0.0190421108684226,0.0190421108684226
"GO-BP","D7_vs_D0","cellular response to interleukin-1","17/1564","88/18842",17,0.00081471497297802,0.0190421108684226,0.0190421108684226
"GO-BP","D7_vs_D0","immune response-inhibiting signal transduction","10/1564","38/18842",10,0.000822788362444899,0.0191437907678356,0.0191437907678356
"GO-BP","D7_vs_D0","positive regulation of cellular extravasation","6/1564","15/18842",6,0.000840843635503302,0.0193884214069865,0.0193884214069865
"GO-BP","D7_vs_D0","cellular response to exogenous dsRNA","6/1564","15/18842",6,0.000840843635503302,0.0193884214069865,0.0193884214069865
"GO-BP","D7_vs_D0","T cell proliferation","26/1564","162/18842",26,0.000849371334351183,0.0194976223269365,0.0194976223269365
"GO-BP","D7_vs_D0","type II interferon-mediated signaling pathway","8/1564","26/18842",8,0.000888345334235073,0.0203016520383855,0.0203016520383855
"GO-BP","D7_vs_D0","regulation of inflammasome-mediated signaling pathway","12/1564","52/18842",12,0.000926363773972535,0.0210768253352512,0.0210768253352512
"GO-BP","D7_vs_D0","myeloid leukocyte migration","31/1564","207/18842",31,0.000952348108908429,0.0215725725815293,0.0215725725815293
"GO-BP","D7_vs_D0","regulation of adaptive immune response","29/1564","190/18842",29,0.00100943007656145,0.0226328121346936,0.0226328121346936
"GO-BP","D7_vs_D0","positive regulation of leukocyte mediated immunity","22/1564","130/18842",22,0.00101235838019827,0.0226328121346936,0.0226328121346936
"GO-BP","D7_vs_D0","nucleosome organization","22/1564","130/18842",22,0.00101235838019827,0.0226328121346936,0.0226328121346936
"GO-BP","D7_vs_D0","positive regulation of interleukin-6 production","17/1564","90/18842",17,0.00106027512257436,0.0236014488323694,0.0236014488323694
"GO-BP","D7_vs_D0","cellular response to interferon-beta","8/1564","27/18842",8,0.00117144646230981,0.025852995271904,0.025852995271904
"GO-BP","D7_vs_D0","toll-like receptor 7 signaling pathway","5/1564","11/18842",5,0.00118153517870429,0.025852995271904,0.025852995271904
"GO-BP","D7_vs_D0","MDA-5 signaling pathway","5/1564","11/18842",5,0.00118153517870429,0.025852995271904,0.025852995271904
"GO-BP","D7_vs_D0","neutrophil-mediated killing of symbiont cell","5/1564","11/18842",5,0.00118153517870429,0.025852995271904,0.025852995271904
"GO-BP","D7_vs_D0","establishment of vesicle localization","29/1564","192/18842",29,0.0011930785282889,0.0259949567477183,0.0259949567477183
"GO-BP","D7_vs_D0","protein-DNA complex assembly","31/1564","210/18842",31,0.00120974888922071,0.0262469569129657,0.0262469569129657
"GO-BP","D7_vs_D0","detection of bacterium","6/1564","16/18842",6,0.00125137256709529,0.0269228357322342,0.0269228357322342
"GO-BP","D7_vs_D0","negative regulation of viral transcription","6/1564","16/18842",6,0.00125137256709529,0.0269228357322342,0.0269228357322342
"GO-BP","D7_vs_D0","regulation of activated T cell proliferation","10/1564","40/18842",10,0.00126665710479638,0.0271381284702625,0.0271381284702625
"GO-BP","D7_vs_D0","positive regulation of peptidyl-tyrosine phosphorylation","12/1564","54/18842",12,0.00131917411098215,0.0281128108392881,0.0281128108392881
"GO-BP","D7_vs_D0","acute-phase response","11/1564","47/18842",11,0.00132308444634534,0.0281128108392881,0.0281128108392881
"GO-BP","D7_vs_D0","negative regulation of leukocyte activation","27/1564","176/18842",27,0.00136955486895372,0.0289804573504528,0.0289804573504528
"GO-BP","D7_vs_D0","biological process involved in interaction with host","26/1564","168/18842",26,0.00146273198987189,0.0308252782455789,0.0308252782455789
"GO-BP","D7_vs_D0","humoral immune response","40/1564","296/18842",40,0.00151052514861264,0.0315838889128183,0.0315838889128183
"GO-BP","D7_vs_D0","regulation of hemopoiesis","49/1564","382/18842",49,0.00151101452208349,0.0315838889128183,0.0315838889128183
"GO-BP","D7_vs_D0","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","8/1564","28/18842",8,0.00152202616992323,0.0316414755026125,0.0316414755026125
"GO-BP","D7_vs_D0","regulation of binding","16/1564","85/18842",16,0.00152607660922752,0.0316414755026125,0.0316414755026125
"GO-BP","D7_vs_D0","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","27/1564","178/18842",27,0.00162216188540341,0.0334986201395356,0.0334986201395356
"GO-BP","D7_vs_D0","complement receptor mediated signaling pathway","6/1564","17/18842",6,0.00179908809326164,0.0368562190261011,0.0368562190261011
"GO-BP","D7_vs_D0","suppression of viral release by host","6/1564","17/18842",6,0.00179908809326164,0.0368562190261011,0.0368562190261011
"GO-BP","D7_vs_D0","positive regulation of apoptotic process","59/1564","484/18842",59,0.00183289592259488,0.0373998048967574,0.0373998048967574
"GO-BP","D7_vs_D0","regulation of tumor necrosis factor-mediated signaling pathway","14/1564","71/18842",14,0.00186033878924087,0.0378097314398282,0.0378097314398282
"GO-BP","D7_vs_D0","cytidine to uridine editing","5/1564","12/18842",5,0.00188759603963427,0.0382126725818875,0.0382126725818875
"GO-BP","D7_vs_D0","antimicrobial humoral response","28/1564","189/18842",28,0.00192563697677098,0.0388299032727701,0.0388299032727701
"GO-BP","D7_vs_D0","positive regulation of immune effector process","33/1564","235/18842",33,0.00200476364626725,0.040267557301196,0.040267557301196
"GO-BP","D7_vs_D0","positive regulation of non-canonical NF-kappaB signal transduction","12/1564","57/18842",12,0.00215829401357118,0.043182676333786,0.043182676333786
"GO-BP","D7_vs_D0","positive regulation of leukocyte proliferation","22/1564","138/18842",22,0.00223387393535188,0.0445216270371294,0.0445216270371294
"GO-BP","D7_vs_D0","transposable element silencing","10/1564","43/18842",10,0.00228045253790489,0.0452744669880577,0.0452744669880577
"GO-BP","D7_vs_D0","regulation of production of molecular mediator of immune response","23/1564","147/18842",23,0.00230713937199562,0.045628117887698,0.045628117887698
"GO-BP","D7_vs_D0","nucleosome assembly","19/1564","113/18842",19,0.00233430880404715,0.0456897264017446,0.0456897264017446
"GO-BP","D7_vs_D0","negative regulation of leukocyte mediated immunity","13/1564","65/18842",13,0.00233691132704372,0.0456897264017446,0.0456897264017446
"GO-BP","D7_vs_D0","regulation of lymphocyte migration","13/1564","65/18842",13,0.00233691132704372,0.0456897264017446,0.0456897264017446
"GO-BP","D7_vs_D0","vesicle localization","30/1564","210/18842",30,0.00240375313690235,0.0468185554164844,0.0468185554164844
"GO-BP","D7_vs_D0","myeloid leukocyte differentiation","29/1564","201/18842",29,0.00242346284919901,0.0470243244172881,0.0470243244172881
"GO-BP","D7_vs_D0","alpha-beta T cell activation","27/1564","183/18842",27,0.002435254818016,0.0470754897527754,0.0470754897527754
"GO-BP","D7_vs_D0","immune system development","20/1564","122/18842",20,0.00247747126439846,0.0471187480699489,0.0471187480699489
"GO-BP","D7_vs_D0","protein K63-linked ubiquitination","15/1564","81/18842",15,0.00249644383984433,0.0471187480699489,0.0471187480699489
"GO-BP","D7_vs_D0","regulation of leukocyte mediated cytotoxicity","16/1564","89/18842",16,0.0025012890001951,0.0471187480699489,0.0471187480699489
"GO-BP","D7_vs_D0","base conversion or substitution editing","6/1564","18/18842",6,0.00251080065561377,0.0471187480699489,0.0471187480699489
"GO-BP","D7_vs_D0","regulation of viral entry into host cell","6/1564","18/18842",6,0.00251080065561377,0.0471187480699489,0.0471187480699489
"GO-BP","D7_vs_D0","positive regulation of type I interferon-mediated signaling pathway","6/1564","18/18842",6,0.00251080065561377,0.0471187480699489,0.0471187480699489
"GO-BP","D7_vs_D0","nucleotide-binding oligomerization domain containing 2 signaling pathway","6/1564","18/18842",6,0.00251080065561377,0.0471187480699489,0.0471187480699489
"GO-BP","D7_vs_D0","cellular response to dsRNA","6/1564","18/18842",6,0.00251080065561377,0.0471187480699489,0.0471187480699489
"GO-BP","D7_vs_D0","regulation of T cell proliferation","23/1564","148/18842",23,0.00252225281140839,0.0471615416591344,0.0471615416591344
"KEGG","D7_vs_D0","Neutrophil extracellular trap formation","44/810","195/9424",44,1.61540574764464e-09,5.50853359946823e-07,5.50853359946823e-07
"KEGG","D7_vs_D0","NOD-like receptor signaling pathway","41/810","187/9424",41,1.42154560127421e-08,2.42373525017254e-06,2.42373525017254e-06
"KEGG","D7_vs_D0","Herpes simplex virus 1 infection","39/810","180/9424",39,4.52452109281522e-08,3.9096906308733e-06,3.9096906308733e-06
"KEGG","D7_vs_D0","Influenza A","38/810","173/9424",38,4.58614736759331e-08,3.9096906308733e-06,3.9096906308733e-06
"KEGG","D7_vs_D0","Measles","32/810","136/9424",32,9.92303810628909e-08,6.76751198848916e-06,6.76751198848916e-06
"KEGG","D7_vs_D0","Systemic lupus erythematosus","29/810","143/9424",29,9.62216241197167e-06,0.000508576696066528,0.000508576696066528
"KEGG","D7_vs_D0","Viral carcinogenesis","37/810","205/9424",37,1.04399908283452e-05,0.000508576696066528,0.000508576696066528
"KEGG","D7_vs_D0","Phagocytosis","42/810","260/9424",42,4.42203865703178e-05,0.00181737126950011,0.00181737126950011
"KEGG","D7_vs_D0","Legionellosis","15/810","56/9424",15,5.15382027612173e-05,0.00181737126950011,0.00181737126950011
"KEGG","D7_vs_D0","Hepatitis C","29/810","156/9424",29,5.32953451466308e-05,0.00181737126950011,0.00181737126950011
"KEGG","D7_vs_D0","Tuberculosis","32/810","181/9424",32,6.20398595126008e-05,0.00192323564489063,0.00192323564489063
"KEGG","D7_vs_D0","Cytosolic DNA-sensing pathway","18/810","83/9424",18,0.000191654697640184,0.0054461876579419,0.0054461876579419
"KEGG","D7_vs_D0","Epstein-Barr virus infection","33/810","205/9424",33,0.000303811222767488,0.00796920207413179,0.00796920207413179
"KEGG","D7_vs_D0","Natural killer cell mediated cytotoxicity","24/810","133/9424",24,0.00036511398535703,0.00889313350048193,0.00889313350048193
"KEGG","D7_vs_D0","Antigen processing and presentation","17/810","82/9424",17,0.000501618095133144,0.0114034513626935,0.0114034513626935
"KEGG","D7_vs_D0","Viral protein interaction with cytokine and cytokine receptor","19/810","100/9424",19,0.000758289863689436,0.0161610527198811,0.0161610527198811
"KEGG","D7_vs_D0","Leishmaniasis","16/810","78/9424",16,0.000821228469329942,0.0164728769436182,0.0164728769436182
"KEGG","D7_vs_D0","Efferocytosis","26/810","158/9424",26,0.000917884080511077,0.0173888039696821,0.0173888039696821
"KEGG","D7_vs_D0","Osteoclast differentiation","24/810","142/9424",24,0.000970172357500906,0.0174120407319899,0.0174120407319899
